COMPONENT_ID,NAME,EXTERNAL_NAME,BASE_NAME,DEFAULT_UNIT,LOW_NORMAL,HIGH_NORMAL
CMP700001,Hemoglobin,Hgb,HEMOGLOBIN,g/dL,12,17.5
CMP700002,Hematocrit,Hct,HEMATOCRIT,%,36,52
CMP700003,White Blood Cell Count,WBC,WBC,10*3/uL,4,11
CMP700004,Platelet Count,Plt,PLATELET,10*3/uL,150,400
CMP700005,Sodium,Na,SODIUM,mmol/L,135,145
CMP700006,Potassium,K,POTASSIUM,mmol/L,3.5,5.1
CMP700007,Chloride,Cl,CHLORIDE,mmol/L,98,107
CMP700008,Creatinine,Cr,CREATININE,mg/dL,0.6,1.3
CMP700009,Blood Urea Nitrogen,BUN,BUN,mg/dL,7,20
CMP700010,Glucose,Glu,GLUCOSE,mg/dL,70,140
CMP700011,Hemoglobin A1c,A1c,HGBA1C,%,4,5.6
CMP700012,Total Cholesterol,Chol,CHOLESTEROL,mg/dL,0,200
CMP700013,LDL Cholesterol,LDL,LDL,mg/dL,0,130
CMP700014,HDL Cholesterol,HDL,HDL,mg/dL,40,100
CMP700015,Triglycerides,Trig,TRIGLYCERIDE,mg/dL,0,150
CMP700016,Thyroid Stimulating Hormone,TSH,TSH,mIU/L,0.4,4
CMP700017,Alanine Aminotransferase,ALT,ALT,U/L,7,56
CMP700018,Aspartate Aminotransferase,AST,AST,U/L,10,40
